round,client_id,tier,client_idx,epochs,upload_ratio,noise_multiplier,predicted_compute_seconds,predicted_communication_seconds,predicted_total_seconds,privacy_target_increment,utility_score
39,client_4,standard,4,3,1.0,3.069045375182806,0.488032636561423,0.07877546332234885,0.5668080998837718,0.1748066307654086,0.4199929831934979
39,client_0,standard,0,3,1.0,3.4183403595999473,0.4402181192179294,0.09402618972209684,0.5342443089400263,0.17454916292042477,0.41589840843871084
39,client_9,constrained,9,3,1.0,2.9178097656978528,1.312411600961881,0.32498657176222706,1.637398172724108,0.17497511113757325,0.323717780853898
40,client_16,constrained,16,3,1.0,2.7303463448698655,1.7165702500625306,0.29923783190268255,2.015808081965213,0.20772378893472565,0.746938854800963
40,client_12,standard,12,3,1.0,3.007515934548254,0.516792541167394,0.08888255113628679,0.6056750923036809,0.2005199495467065,0.8089302195041964
40,client_7,high,7,3,1.0,2.601151745674414,0.46459398697843607,0.02382452019684013,0.4884185071752762,0.20802689112707573,0.8349623765486022
40,client_18,standard,18,3,1.0,3.063396702543032,0.497141226889693,0.08152683158072416,0.5786680584704171,0.18570587529670246,0.7086772711434947
40,client_2,high,2,3,1.0,3.5032136543764922,0.24534969057715444,0.02099277002510015,0.2663424606022546,0.21582545131490605,0.6966781865018141
40,client_14,standard,14,3,1.0,2.8506787438119536,0.6550075346208859,0.08666111742293045,0.7416686520438164,0.18087104085321526,0.6731749045011214
40,client_5,high,5,3,1.0,2.8156215938706732,0.34518489365369404,0.025686359847365704,0.37087125350105976,0.20120265824064232,0.669271152700499
40,client_15,constrained,15,3,1.0,3.0757908675481054,1.1723120264478777,0.30476309245604044,1.4770751189039182,0.21107100647139188,0.6240324142752385
40,client_6,standard,6,3,1.0,2.9610035625447106,0.5431405305625087,0.09511486945771792,0.6382554000202266,0.18068463652982802,0.5984668504512728
40,client_1,standard,1,3,1.0,2.731258218656092,0.7401431090918266,0.08365974444501835,0.8238028535368449,0.17522746319049531,0.5936456721707402
40,client_19,standard,19,3,1.0,2.9402667192715657,0.6250204344416345,0.08699460240173665,0.7120150368433711,0.17496576437353606,0.5783119765552728
40,client_13,standard,13,3,1.0,2.881123511897679,0.5318250833882264,0.08748638260751795,0.6193114659957444,0.17504475941363817,0.5724491535063112
40,client_11,high,11,3,1.0,3.374166447221922,0.24803796722998134,0.02517228040548941,0.27321024763547075,0.1715457778015197,0.5642564142929251
40,client_17,constrained,17,3,1.0,3.019758285057725,1.0713869544003642,0.3957197655178173,1.4671067199181815,0.19436441016114214,0.5480592742526741
40,client_3,standard,3,3,1.0,3.50656314689353,0.4932454152756005,0.08126489916583367,0.5745103144414342,0.15831153387270192,0.4695712313618499
40,client_0,standard,0,3,1.0,3.4183403595999473,0.4642753308802861,0.10295459147366623,0.5672299223539523,0.15841159140899785,0.4256034095984247
41,client_16,constrained,16,3,1.0,2.7303463448698655,1.4234715910957876,0.3251745297419168,1.7486461208377044,0.18101605776303153,0.684438854800963
41,client_12,standard,12,3,1.0,3.007515934548254,0.6031358212188409,0.08770614946554567,0.6908419706843866,0.17493883244128883,0.7299226393184715
41,client_7,high,7,3,1.0,2.601151745674414,0.5557927126638434,0.02300375442080333,0.5787964670846468,0.1811781904926253,0.7842088116821458
41,client_8,standard,8,3,1.0,3.6318972153384124,0.38445147679886754,0.08123873150334404,0.4656902083022116,0.2156823413570037,0.709527205726425
41,client_14,standard,14,3,1.0,2.8506787438119536,0.6156051624139759,0.07833036406046377,0.6939355264744397,0.16178673837654367,0.7060996595853105
41,client_2,high,2,3,1.0,3.5032136543764922,0.280961622681359,0.02243015614214263,0.3033917788235016,0.18533185479870395,0.7030280977255703
41,client_18,standard,18,3,1.0,3.063396702543032,0.5412484011708724,0.10190903612621457,0.643157437297087,0.166381300614729,0.6514035137656382
41,client_5,high,5,3,1.0,2.8156215938706732,0.35827937755350325,0.022884406198258142,0.3811637837517614,0.1750769198957498,0.6461395675464208
41,client_13,standard,13,3,1.0,2.881123511897679,0.5439225523468557,0.08333838729285147,0.6272609396397072,0.1589064366700612,0.5958216564217054
41,client_19,standard,19,3,1.0,2.9402667192715657,0.6484188574490651,0.09366125166020055,0.7420801091092657,0.15884620946504824,0.5882450890519423
41,client_6,standard,6,3,1.0,2.9610035625447106,0.48166200838588663,0.08681940591959933,0.5684814143054859,0.16173088304756789,0.5830136470614153
41,client_1,standard,1,3,1.0,2.731258218656092,0.6561888402577236,0.07866354237732073,0.7348523826350444,0.15910980219608262,0.5816512686695906
41,client_10,standard,10,3,1.0,2.9891397202244807,0.48955659936167006,0.08172164432527129,0.5712782436869414,0.17489122595279416,0.5696137921414337
41,client_11,high,11,3,1.0,3.374166447221922,0.24328840882793862,0.023531780864223195,0.2668201896921618,0.1562116421175288,0.5178375211546533
41,client_15,constrained,15,3,1.0,3.0757908675481054,1.286796358713452,0.2948041878452672,1.5816005465587193,0.18318434319221355,0.5139544335407751
41,client_3,standard,3,3,1.0,3.50656314689353,0.4326726094025379,0.09905348185288555,0.5317260912554235,0.14571545801332375,0.49478662345179003
41,client_0,standard,0,3,1.0,3.4183403595999473,0.40996130958903226,0.08535503531831073,0.495316344907343,0.14572348724633577,0.43473344322201857
42,client_16,constrained,16,3,1.0,2.7303463448698655,1.661184570715061,0.301834577084092,1.963019147799153,0.16193064696927983,0.6460798513304399
42,client_12,standard,12,3,1.0,3.007515934548254,0.5526635054666792,0.07916633521622365,0.6318298406829028,0.15873732750700986,0.7755229565104244
42,client_7,high,7,3,1.0,2.601151745674414,0.4986342832753489,0.023495797228680105,0.522130080504029,0.16212414188517466,0.757503978921784
42,client_8,standard,8,3,1.0,3.6318972153384124,0.34958516119475525,0.09178831339901326,0.4413734745937685,0.1852481461239579,0.7032272402343409
42,client_2,high,2,3,1.0,3.5032136543764922,0.25608653215449634,0.023270303941172632,0.27935683609566897,0.1661672596725321,0.682810172833797
42,client_18,standard,18,3,1.0,3.063396702543032,0.5264187842357817,0.0838924220741769,0.6103112063099586,0.1518091750040702,0.6744714367853849
42,client_5,high,5,3,1.0,2.8156215938706732,0.36007287554336614,0.025202695781680204,0.38527557132504636,0.15902506910489023,0.6489295921815361
42,client_4,standard,4,3,1.0,3.069045375182806,0.44498394014869574,0.091674266904322,0.5366582070530177,0.1587293133330483,0.6356273723802329
42,client_10,standard,10,3,1.0,2.9891397202244807,0.5406282704891997,0.07663648911177018,0.6172647596009699,0.1588090096856385,0.6318929144774565
42,client_6,standard,6,3,1.0,2.9610035625447106,0.47738695389906904,0.0908183741263101,0.5682053280253792,0.14881554305078337,0.6157271109569395
42,client_1,standard,1,3,1.0,2.731258218656092,0.6518245459020213,0.08080508498372418,0.7326296308857455,0.14615582726614496,0.6061834847703926
42,client_19,standard,19,3,1.0,2.9402667192715657,0.5742040151139562,0.0781580943051008,0.652362109419057,0.14598929173802722,0.5796574064817661
42,client_13,standard,13,3,1.0,2.881123511897679,0.5273458036484072,0.07853694621496728,0.6058827498633745,0.1460391219886139,0.5790321681109805
42,client_9,constrained,9,3,1.0,2.9178097656978528,1.2738627212422218,0.29450848063760765,1.5683712018798295,0.15888414569742926,0.5525983619691017
42,client_11,high,11,3,1.0,3.374166447221922,0.27503317569886915,0.02307758911376335,0.2981107648126325,0.1435139210166465,0.5156097669801255
42,client_0,standard,0,3,1.0,3.4183403595999473,0.41761485750384403,0.09261549909304262,0.5102303565968866,0.1364086472102608,0.4751923575288394
43,client_16,constrained,16,3,1.0,2.7303463448698655,1.6345756716378907,0.3779434153187022,2.0125190869565928,0.14902952833980554,0.684438854800963
43,client_12,standard,12,3,1.0,3.007515934548254,0.5633628706922335,0.07752306340176002,0.6408859340939934,0.14597021279783684,0.7753522538000758
43,client_7,high,7,3,1.0,2.601151745674414,0.4595649581642694,0.02792373302117765,0.487488691185447,0.14913601756970296,0.7936572199307981
43,client_14,standard,14,3,1.0,2.8506787438119536,0.6064673791850186,0.07304955179692832,0.6795169309819469,0.1489347616942054,0.7473125061235589
43,client_18,standard,18,3,1.0,3.063396702543032,0.5063549492895199,0.08955174506337635,0.5959066943528962,0.14174093004645538,0.6515951490883634
43,client_15,constrained,15,3,1.0,3.0757908675481054,1.0928819836003398,0.29705964379318944,1.3899416273935292,0.16287638468081167,0.6502100496445227
43,client_2,high,2,3,1.0,3.5032136543764922,0.27646849060871814,0.024417897143552053,0.30088638775227017,0.15158571838674462,0.6339257176710611
43,client_10,standard,10,3,1.0,2.9891397202244807,0.5412253317706524,0.08544004353783627,0.6266653753084886,0.1459427594797924,0.617686022083156
43,client_17,constrained,17,3,1.0,3.019758285057725,1.284256810649775,0.354558576383182,1.638815387032957,0.1719286455849005,0.6164079199358152
43,client_5,high,5,3,1.0,2.8156215938706732,0.3747165803539801,0.02484854620645583,0.3995651265604359,0.14606161717431654,0.6138540752843724
43,client_1,standard,1,3,1.0,2.731258218656092,0.7579578065040633,0.07788399870191837,0.8358418052059817,0.13661978688829102,0.6000200552484096
43,client_4,standard,4,3,1.0,3.069045375182806,0.526469979147525,0.08150008184814082,0.6079700609956659,0.1458890414789209,0.5816028083537589
43,client_9,constrained,9,3,1.0,2.9178097656978528,1.211844903700481,0.3344242953590387,1.5462691990595197,0.1459959235590773,0.5780605359705497
43,client_3,standard,3,3,1.0,3.50656314689353,0.4675393043750429,0.09165230378268599,0.5591916081577288,0.13647374499231502,0.5736507498881845
43,client_19,standard,19,3,1.0,2.9402667192715657,0.6487401029408902,0.08656192140603308,0.7353020243469233,0.1365341558943789,0.5670366650186618
43,client_11,high,11,3,1.0,3.374166447221922,0.2748200093542377,0.023902977910842067,0.2987229872650798,0.1341984727189085,0.5262988057627465
43,client_0,standard,0,3,1.0,3.4183403595999473,0.40229760551930244,0.08027584206468386,0.4825734475839863,0.12963158789883522,0.4518756809780291
44,client_16,constrained,16,3,1.0,2.7303463448698655,1.6433624017078425,0.39567629091887196,2.0390386926267143,0.13953232591936926,0.646938854800963
44,client_8,standard,8,3,1.0,3.6318972153384124,0.40661795229052566,0.08252297423551053,0.4891409265260362,0.166147043640144,0.7408616103572059
44,client_7,high,7,3,1.0,2.601151745674414,0.5072037073976788,0.022207296508984085,0.529411003906663,0.13956710732392574,0.736812751116075
44,client_12,standard,12,3,1.0,3.007515934548254,0.5343335814379051,0.08343904545729845,0.6177726268952035,0.13658649467193262,0.7162519034484829
44,client_18,standard,18,3,1.0,3.063396702543032,0.5362916428633349,0.07960707715337964,0.6158987200167145,0.1305526445499927,0.671068000846868
44,client_6,standard,6,3,1.0,2.9610035625447106,0.49280838329203697,0.08353939474670588,0.5763477780387428,0.13931324493407615,0.6420271265754343
44,client_5,high,5,3,1.0,2.8156215938706732,0.3742857386691405,0.02671131010757435,0.4009970487767148,0.13652061906505786,0.64136417054611
44,client_13,standard,13,3,1.0,2.881123511897679,0.6225252900102646,0.08758787631933926,0.7101131663296039,0.1365744708197596,0.6387940655323158
44,client_17,constrained,17,3,1.0,3.019758285057725,1.084657294864428,0.3254957800812688,1.4101530749456967,0.15649210731435903,0.6372967412243167
