round,client_id,upload_ratio,parameter_blocks,uploaded_bytes,total_parameter_bytes,residual_l2
40,client_15,1.0,8,295160,295160,0.0
40,client_16,1.0,8,295160,295160,0.0
40,client_17,1.0,8,295160,295160,0.0
40,client_18,1.0,8,295160,295160,0.0
40,client_19,1.0,8,295160,295160,0.0
41,client_0,1.0,8,295160,295160,0.0
41,client_1,1.0,8,295160,295160,0.0
41,client_2,1.0,8,295160,295160,0.0
41,client_3,1.0,8,295160,295160,0.0
41,client_5,1.0,8,295160,295160,0.0
41,client_6,1.0,8,295160,295160,0.0
41,client_7,1.0,8,295160,295160,0.0
41,client_8,1.0,8,295160,295160,0.0
41,client_10,1.0,8,295160,295160,0.0
41,client_11,1.0,8,295160,295160,0.0
41,client_12,1.0,8,295160,295160,0.0
41,client_13,1.0,8,295160,295160,0.0
41,client_14,1.0,8,295160,295160,0.0
41,client_15,1.0,8,295160,295160,0.0
41,client_16,1.0,8,295160,295160,0.0
41,client_18,1.0,8,295160,295160,0.0
41,client_19,1.0,8,295160,295160,0.0
42,client_0,1.0,8,295160,295160,0.0
42,client_1,1.0,8,295160,295160,0.0
42,client_2,1.0,8,295160,295160,0.0
42,client_4,1.0,8,295160,295160,0.0
42,client_5,1.0,8,295160,295160,0.0
42,client_6,1.0,8,295160,295160,0.0
42,client_7,1.0,8,295160,295160,0.0
42,client_8,1.0,8,295160,295160,0.0
42,client_9,1.0,8,295160,295160,0.0
42,client_10,1.0,8,295160,295160,0.0
42,client_11,1.0,8,295160,295160,0.0
42,client_12,1.0,8,295160,295160,0.0
42,client_13,1.0,8,295160,295160,0.0
42,client_16,1.0,8,295160,295160,0.0
42,client_18,1.0,8,295160,295160,0.0
42,client_19,1.0,8,295160,295160,0.0
43,client_0,1.0,8,295160,295160,0.0
43,client_1,1.0,8,295160,295160,0.0
43,client_2,1.0,8,295160,295160,0.0
43,client_3,1.0,8,295160,295160,0.0
43,client_4,1.0,8,295160,295160,0.0
43,client_5,1.0,8,295160,295160,0.0
43,client_7,1.0,8,295160,295160,0.0
43,client_9,1.0,8,295160,295160,0.0
43,client_10,1.0,8,295160,295160,0.0
43,client_11,1.0,8,295160,295160,0.0
43,client_12,1.0,8,295160,295160,0.0
43,client_14,1.0,8,295160,295160,0.0
43,client_15,1.0,8,295160,295160,0.0
43,client_16,1.0,8,295160,295160,0.0
43,client_17,1.0,8,295160,295160,0.0
43,client_18,1.0,8,295160,295160,0.0
43,client_19,1.0,8,295160,295160,0.0
44,client_0,1.0,8,295160,295160,0.0
44,client_1,1.0,8,295160,295160,0.0
44,client_2,1.0,8,295160,295160,0.0
44,client_4,1.0,8,295160,295160,0.0
44,client_5,1.0,8,295160,295160,0.0
44,client_6,1.0,8,295160,295160,0.0
44,client_7,1.0,8,295160,295160,0.0
